Species,Metabolite,E1_shap_stable,E2_spearman,E3_kegg,E4_glasso,E5_mofa,E6_mediation,E7_within_stage,Evidence_score,Confidence
Faecousia sp000434635,C00954_Indole-3-acetate,False,True,False,False,False,False,False,1,Low-Medium (1)
SIG291 sp015057605,C01672_Cadaverine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens_A,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003537285,C00630_Isobutyryl CoA,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS693 sp900544555,C05135_4-(beta-Acetylaminoethyl)imidazole,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alectryocaccomicrobium excrementavium,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-127 sp900319515,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatavimonas merdipullorum,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoravium,C00152_Asn,False,True,False,False,False,False,False,1,Low-Medium (1)
Escherichia coli,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp000436475,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C00785_Urocanate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes_A ihumii,_DCA,True,True,False,False,False,False,False,2,Medium (2)
UMGS902 sp003343845,3-Indoxyl sulfate,True,True,False,False,False,False,False,2,Medium (2)
CAG-488 sp016292785,C01672_Cadaverine,False,True,False,False,False,False,False,1,Low-Medium (1)
Escherichia coli,C05635_5-Hydroxyindoleacetate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoravium,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003537285,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avimicrobium caecorum,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA11540 sp003445125,C00954_Indole-3-acetate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA11540 sp003445125,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoripullorum,C00334_GABA,False,True,False,False,False,False,False,1,Low-Medium (1)
Agathobacter rectalis,C00630_Isobutyryl CoA,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp000436535,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
Escherichia ruysiae,C00152_Asn,False,True,False,False,False,False,False,1,Low-Medium (1)
Anaerostipes caccae,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatavimonas merdipullorum,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Neisseria subflava_A,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C01585_Hexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatomorpha stercorigallinarum,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Aphodousia sp900553105,C01047_N-gamma-Ethylglutamine,False,True,False,False,True,False,False,2,Medium (2)
ER4 sp000765235,C00630_Isobutyryl CoA,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium sp900539945,C10172_Proline betaine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp000432375,C00242_Guanine,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C01042_N-Acetylaspartate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens,C01921_Glycocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Neisseria subflava_A,C00719_Betaine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,"C04259_N-alpha,N-alpha-Dimethylhistidine",False,True,False,False,False,False,False,1,Low-Medium (1)
Barnesiella intestinihominis,C08262_Isovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Agathobacter sp900317585,C00630_Isobutyryl CoA,False,True,False,False,False,False,False,1,Low-Medium (1)
Paraclostridium tenue,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,C00346_Ethanolamine phosphate,True,True,False,False,False,False,False,2,Medium (2)
Erysipelatoclostridium ramosum,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Egerieicola pullicola,C01672_Cadaverine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-1427 sp900554685,3-Indoxyl sulfate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C00785_Urocanate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA1685 sp900546845,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C00245_Taurine,True,True,False,False,False,False,False,2,Medium (2)
Ruminiclostridium_E sp900539195,C00785_Urocanate,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS693 sp900544555,C02378_6-Aminohexanoate,True,True,False,False,False,False,False,2,Medium (2)
UMGS693 sp900544555,C05582_Homovanillate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_E bromii_B,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Agathobacter faecis,C02735_Phenylethanolamine,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS902 sp900761025,C10172_Proline betaine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,_DCA,True,True,False,False,False,False,False,2,Medium (2)
Acetatifactor intestinalis,C00954_Indole-3-acetate,False,True,False,False,False,False,False,1,Low-Medium (1)
Clostridium_A leptum,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Clostridium_A leptum,C00785_Urocanate,True,True,False,False,False,False,False,2,Medium (2)
ER4 sp000765235,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
Anaerostipes caccae,C01042_N-Acetylaspartate,False,True,False,False,False,False,False,1,Low-Medium (1)
Prevotella sp003447235,C01672_Cadaverine,False,True,False,False,False,False,False,1,Low-Medium (1)
Avimicrobium caecorum,C05122_Taurocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Eubacterium_T sp900766045,C01104_Trimethylamine N-oxide,True,True,False,False,False,False,False,2,Medium (2)
Alistipes shahii,C00311_Isocitrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp000436535,C00630_Isobutyryl CoA,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger qucibialis,C01921_Glycocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003451515,C01921_Glycocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS1322 sp905214315,C16741_5-Hydroxylysine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C00334_GABA,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C00346_Ethanolamine phosphate,True,True,False,False,False,False,False,2,Medium (2)
Clostridium_A leptum,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoripullorum,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii,C10172_Proline betaine,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_D bicirculans,C01585_Hexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA1685 sp900546845,C00954_Indole-3-acetate,False,True,False,False,False,False,False,1,Low-Medium (1)
Erysipelatoclostridium ramosum,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C00334_GABA,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,_DCA,True,True,False,False,False,False,False,2,Medium (2)
CAG-103 sp900757655,C01585_Hexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900757655,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003451515,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
QALW01 sp900547955,C00334_GABA,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00954_Indole-3-acetate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-83 sp000435555,C17714_Heptanoate,True,True,False,False,False,False,False,2,Medium (2)
Avichristensenella intestinipullorum,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA1829 sp900548385,C00383_Malonate,True,True,False,False,True,False,False,3,Medium-High (3)
CAG-103 sp000432375,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C01672_Cadaverine,False,True,False,False,False,False,False,1,Low-Medium (1)
Escherichia sp005843885,C00152_Asn,False,True,False,False,False,False,False,1,Low-Medium (1)
Veillonella parvula_A,C00163_Propionate,False,True,False,False,False,False,False,1,Low-Medium (1)
QAMH01 sp900544245,C16741_5-Hydroxylysine,True,True,False,False,False,False,False,2,Medium (2)
ER4 sp900552015,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
Fusobacterium_A mortiferum,3-Indoxyl sulfate,False,True,False,False,False,False,False,1,Low-Medium (1)
Erysipelatoclostridium ramosum,C00024_Acetyl CoA,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA3855 sp017460955,C00785_Urocanate,False,True,False,False,False,False,False,1,Low-Medium (1)
Heteroscilispira lomanii,C00334_GABA,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA1685 sp900546845,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
Egerieicola pullicola,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-83 sp002438575,C00449_Saccharopine,True,True,False,False,False,False,False,2,Medium (2)
Lachnospira rogosae_A,C02571_o-Acetylcarnitine,False,True,False,False,False,False,False,1,Low-Medium (1)
Barnesiella intestinihominis,C00245_Taurine,True,True,False,False,False,False,False,2,Medium (2)
Alistipes_A ihumii,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
Bacillus_T coahuilensis,C02571_o-Acetylcarnitine,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003537285,C01921_Glycocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_E bromii_B,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Pyramidobacter sp002007215,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
Galloscillospira_B excrementipullorum,C00334_GABA,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900757655,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C00003_NAD+,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,C00245_Taurine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii_G,C05984_2-Hydroxybutyrate,True,True,False,False,False,False,False,2,Medium (2)
Gemmiger qucibialis,C01042_N-Acetylaspartate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avanaerovorax faecigallinarum,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Escherichia albertii,C00152_Asn,False,True,False,False,False,False,False,1,Low-Medium (1)
QALW01 sp900547955,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C01042_N-Acetylaspartate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,C08262_Isovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Erysipelatoclostridium ramosum,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens_A,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatomorpha intestinavium,C00245_Taurine,True,True,False,False,False,False,False,2,Medium (2)
Prevotella sp003447235,3-Indoxyl sulfate,False,True,False,False,False,False,False,1,Low-Medium (1)
Aphodomorpha sp900549955,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Fimenecus sp000432435,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Barnesiella intestinihominis,C01585_Hexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C05122_Taurocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium sp900539945,C02571_o-Acetylcarnitine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C00003_NAD+,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS687 sp900545735,C00440_5-Methyltetrahydrofolate,False,True,False,False,True,False,False,2,Medium (2)
Acetatifactor intestinalis,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii_D,C05984_2-Hydroxybutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_C sp000980705,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C05635_5-Hydroxyindoleacetate,False,True,False,False,False,False,False,1,Low-Medium (1)
Veillonella parvula_A,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
Anaerostipes hadrus,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatavimonas merdipullorum,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
SFEL01 sp016292635,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens_A,C01921_Glycocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA3855 sp017460955,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS1322 sp905214315,C05135_4-(beta-Acetylaminoethyl)imidazole,False,True,False,False,False,False,False,1,Low-Medium (1)
Prevotella sp002440225,C02679_Dodecanoate,True,True,False,False,False,False,False,2,Medium (2)
Ruminococcus_E bromii,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
Clostridium_A leptum,3-Indoxyl sulfate,True,True,False,False,False,False,False,2,Medium (2)
CAG-103 sp000432375,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900543625,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
Egerieicola pullicola,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii_D,C01921_Glycocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS902 sp003343845,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger qucibialis,C10172_Proline betaine,False,True,False,False,False,False,False,1,Low-Medium (1)
Prevotella sp002300055,C00003_NAD+,False,True,False,False,False,False,False,1,Low-Medium (1)
Anaerostipes caccae,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp000436475,C00123_Leu,True,True,False,False,False,False,False,2,Medium (2)
Veillonella atypica,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Clostridium_A leptum,C00423_trans-Cinnamate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lactobacillus amylolyticus,C00785_Urocanate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C05135_4-(beta-Acetylaminoethyl)imidazole,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoravium,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatavimonas merdipullorum,C00245_Taurine,True,True,False,False,False,False,False,2,Medium (2)
Alistipes shahii,C01921_Glycocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900757655,C01921_Glycocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_D bicirculans,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Prevotella sp002439605,C05127_1-Methylhistamine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00482_Sinapate,False,True,False,False,False,False,False,1,Low-Medium (1)
Escherichia sp002965065,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatavimonas merdipullorum,C01879_5-Oxoproline,True,True,False,False,False,False,False,2,Medium (2)
UMGS687 sp900545735,C00954_Indole-3-acetate,False,True,False,False,True,False,False,2,Medium (2)
CAG-170 sp000432135,C05135_4-(beta-Acetylaminoethyl)imidazole,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C05122_Taurocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Oribacterium sp900318695,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA3855 sp017460955,C00314_Pyridoxine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C01959_Taurocyamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Escherichia sp001660175,C00152_Asn,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA11540 sp003445125,C00879_Mucate,True,True,False,False,False,False,False,2,Medium (2)
Escherichia albertii,C00003_NAD+,False,True,False,False,False,False,False,1,Low-Medium (1)
Avimicrobium caecorum,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
Clostridium disporicum,C02918_1-Methylnicotinamide,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS1590 sp900552455,C00931_Porphobilinogen,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C05635_5-Hydroxyindoleacetate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp000436475,C00630_Isobutyryl CoA,False,True,False,False,False,False,False,1,Low-Medium (1)
Fusobacterium_A mortiferum,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-127 sp900319515,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA1829 sp900548385,C00423_trans-Cinnamate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp017548065,C00785_Urocanate,True,True,False,False,False,False,False,2,Medium (2)
Scatavimonas sp900540275,C03264_2-Hydroxy-4-methylpentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Prevotella sp900767615,C05127_1-Methylhistamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoravium,C00245_Taurine,False,True,False,False,False,False,False,1,Low-Medium (1)
Aphodousia sp900553105,C00642_p-Hydroxyphenylacetate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00296_Quinate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_E bromii_B,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp000436535,C02571_o-Acetylcarnitine,False,True,False,False,False,False,False,1,Low-Medium (1)
Erysipelatoclostridium ramosum,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
Anaerostipes caccae,C00003_NAD+,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00954_Indole-3-acetate,False,True,False,False,False,False,False,1,Low-Medium (1)
Prevotella sp002300055,C00024_Acetyl CoA,True,True,False,False,False,False,False,2,Medium (2)
Alistipes shahii,C00314_Pyridoxine,False,True,False,False,False,False,False,1,Low-Medium (1)
CCUG-7971 sp017590215,C00255_Riboflavin,True,True,False,False,False,True,False,3,Medium-High (3)
UBA5905 sp900763035,C00482_Sinapate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,C05635_5-Hydroxyindoleacetate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C05135_4-(beta-Acetylaminoethyl)imidazole,False,True,False,False,False,False,False,1,Low-Medium (1)
Oribacterium sp900318695,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00003_NAD+,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_E bromii_B,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900543625,C00378_Thiamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger qucibialis,C01104_Trimethylamine N-oxide,False,True,False,False,False,False,False,1,Low-Medium (1)
QAMH01 sp900544245,C00785_Urocanate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,C16741_5-Hydroxylysine,True,True,False,False,False,False,False,2,Medium (2)
CAIFEB01 sp903789375,C00388_Histamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,C00122_Fumarate,True,True,False,False,False,False,False,2,Medium (2)
UBA5905 sp900763035,C01008_Trimethylsulfonium,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C01585_Hexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS2070 sp905203455,C00388_Histamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Phascolarctobacterium_A succinatutens,C05123_Isethionate,False,True,False,False,False,False,False,1,Low-Medium (1)
SFEL01 sp016292635,C00245_Taurine,True,True,False,False,False,False,False,2,Medium (2)
Scatavimonas merdipullorum,3-Indoxyl sulfate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C00954_Indole-3-acetate,False,True,False,False,False,False,False,1,Low-Medium (1)
Klebsiella michiganensis,C05127_1-Methylhistamine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-488 sp000434055,C00785_Urocanate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA3855 sp017460955,C00214_Thymidine,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA10677 sp900543755,C05341_beta-Ala-Lys,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C03264_2-Hydroxy-4-methylpentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
RUG11247 sp902767315,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoravium,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
Phascolarctobacterium_A succinatutens_A,C00383_Malonate,True,True,False,False,False,False,False,2,Medium (2)
Ruminococcus_C sp000980705,C10172_Proline betaine,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,C01879_5-Oxoproline,True,True,False,False,False,False,False,2,Medium (2)
Veillonella parvula_A,C00931_Porphobilinogen,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp000432375,C00630_Isobutyryl CoA,False,True,False,False,False,False,False,1,Low-Medium (1)
Veillonella parvula_A,C00482_Sinapate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium sp900539945,C00003_NAD+,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS1322 sp905214315,C01879_5-Oxoproline,True,True,False,False,False,False,False,2,Medium (2)
Aphodousia sp900553105,C00440_5-Methyltetrahydrofolate,False,True,False,False,True,False,False,2,Medium (2)
Ventricola intestinavium,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS693 sp900544555,C00785_Urocanate,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatavimonas merdipullorum,C00954_Indole-3-acetate,False,True,False,False,False,False,False,1,Low-Medium (1)
Escherichia sp004211955,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900757655,C00079_Phe,False,True,False,False,False,False,False,1,Low-Medium (1)
Morganella psychrotolerans_B,C00003_NAD+,True,True,False,False,False,False,False,2,Medium (2)
Fusobacterium_A mortiferum,C01104_Trimethylamine N-oxide,True,True,False,False,False,False,False,2,Medium (2)
Holdemanella biformis,C05123_Isethionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avimicrobium caecorum,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS693 sp900544555,C05635_5-Hydroxyindoleacetate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C05145_3-Aminoisobutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA1685 sp900546845,3-Indoxyl sulfate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C05122_Taurocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Fusobacterium sp000235465,C02571_o-Acetylcarnitine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAIFEB01 sp903789375,C05135_4-(beta-Acetylaminoethyl)imidazole,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii_C,C00630_Isobutyryl CoA,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C08262_Isovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium sp900539945,C02037_Gly-Gly,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C00378_Thiamine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-41 sp900066215,C05984_2-Hydroxybutyrate,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger sp900540595,2-Hydroxypentanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003537285,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS693 sp900544555,C00300_Creatine,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS687 sp900545735,C00423_trans-Cinnamate,True,True,False,False,False,False,False,2,Medium (2)
Lactobacillus amylolyticus,3-Indoxyl sulfate,True,True,False,False,False,False,False,2,Medium (2)
Escherichia ruysiae,C00847_4-Pyridoxate,False,True,False,False,False,False,False,1,Low-Medium (1)
