metabolite,taxon,mean_flux,std_flux,n_samples
nh4[e],eggerthii,78.35333210493224,86.80724292518221,3
7dhcdchol[e],fragilis,78.26214223267189,30.741973271492732,2
ile_L[e],fergusonii,78.01700238073569,,1
3mop[e],albertii,77.97432805116684,,1
gln_L[e],disiens,77.38843520386172,,1
ppa[e],xylaniphila,77.3629612029398,,1
h2o[e],multacida,77.0778279738791,,1
indole[e],thetaiotaomicron,76.44296090058675,31.521586908349857,2
etoh[e],capillosus,76.21765857696641,,1
nh4[e],merdae,76.11264376336577,83.85770952292394,3
ser_L[e],atypica,75.72821471144098,,1
pac[e],ovatus,75.52138677749227,,1
thr_L[e],ovatus,75.44790016198174,69.02321460809213,3
val_L[e],distasonis,75.12638811186693,71.363642840661,2
h2o[e],prausnitzii,75.08987501637573,16.3291584636118,2
ala_L[e],muciniphila,74.95983704965737,,1
nac[e],clarus,74.10375407240402,44.61049882787734,3
succ[e],wadsworthia,73.57632551096856,,1
for[e],bifidum,72.58330732271028,,1
7ocholate[e],xylanisolvens,72.2052409512776,31.115569620779038,3
asp_L[e],fluxus,71.56966130577234,,1
pi[e],fluxus,71.53882705220215,17.01173476400621,2
ppa[e],disiens,71.45031386629631,,1
nac[e],nordii,71.0821962369922,41.01806048499757,2
lys_L[e],clarus,71.07917521267655,,1
indole[e],laneus,70.98572286517643,,1
gly[e],virosa,70.93217279341891,,1
7ocholate[e],fragilis,70.91421524926602,41.13351126675254,2
gln_L[e],corporis,70.78629603197999,,1
gcald[e],merdae,70.59230497160814,50.93562192266537,3
lac_D[e],hadrus,70.43284131228202,,1
lac_D[e],xylanisolvens,70.25464010259327,,1
adn[e],goldsteinii,70.20965455284595,,1
pro_L[e],wadsworthia,70.11968283489598,42.257149782899695,2
nh4[e],xylanisolvens,69.74647287067779,,1
indole[e],salyersiae,69.46158781233306,50.096815801479835,3
strch2[e],distasonis,68.74867286283514,,1
gln_L[e],succinatiphilus,68.69846718220353,,1
h2o[e],fluxus,67.84965928061172,,1
lys_L[e],prausnitzii,67.63562066672807,94.3402380899429,2
ins[e],distasonis,66.79786099079713,50.834580204688585,3
pi[e],oleiciplenus,66.68402083249107,,1
val_L[e],merdae,66.66666666666823,,1
cys_L[e],fragilis,65.87084410189523,104.05672811730815,3
gly[e],breve,65.05359094658857,19.68040875999893,2
nac[e],jalaludinii,64.97415470533817,,1
trp_L[e],ovatus,64.55465613015504,50.12728602371279,2
cholate[e],plautii,64.47615955682633,31.629966425692345,3
dcyt[e],asburiae,64.24982210774412,,1
7dhcdchol[e],ovatus,63.34247922769837,51.841563039162416,2
nh4[e],putredinis,62.49999999999997,,1
gal[e],nordii,62.14747953778915,5.029324086832095,2
12ppd_S[e],thetaiotaomicron,61.81823823184762,53.99716532781962,2
gsn[e],buccae,60.73297257688944,,1
dcyt[e],ovatus,60.69344225921583,55.58786704721813,2
gln_L[e],virosa,60.35202259126699,,1
nh4[e],distasonis,60.336464608441375,69.43493221837211,2
for[e],cellulosilyticus,60.000000000003496,,1
etoh[e],thermophilus,60.00000000000019,,1
tma[e],fergusonii,59.81748991935528,,1
succ[e],atypica,59.55927249742638,48.23815230008486,2
26dap_M[e],merdae,58.97435897435979,,1
pac[e],eggerthii,58.784272475183485,13.033905729965525,3
hxan[e],longum,58.026198055581425,,1
2obut[e],xylanisolvens,56.54475108152765,61.45500237680237,2
nh4[e],plautii,56.504754509854436,79.73794658044567,2
gln_L[e],clara,56.08590766285898,,1
glyc3p[e],eggerthii,56.081260843457436,41.38960441918064,3
co2[e],jalaludinii,55.23639316952439,,1
3mop[e],prausnitzii,55.042827580600644,63.5790429614598,2
glyc3p[e],atypica,54.97953207693969,,1
h2o[e],copri,54.71567784144493,,1
glu_L[e],copri,54.71567784143144,,1
ac[e],copri,54.71567784142329,,1
phe_L[e],goldsteinii,54.43839300311087,,1
asn_L[e],cellulosilyticus,54.285714285712515,,1
h2o[e],kashiwanohense,54.00302597943525,,1
gua[e],fluxus,53.88864118247328,,1
dcyt[e],clarus,53.86352348768614,,1
lac_D[e],thetaiotaomicron,53.19878872636377,22.26711257350794,2
gly[e],albertii,53.106060268162075,,1
co2[e],merdae,52.636694683562034,24.30062430350413,3
lac_D[e],ovatus,52.530857603844225,43.279072712900906,3
lys_L[e],fergusonii,52.46550090499874,,1
akg[e],atypica,52.06797298041379,,1
val_L[e],oleiciplenus,51.87319384914013,,1
cholate[e],ovatus,51.79921572232726,68.16620284250463,2
cys_L[e],disiens,51.3847582305894,,1
ac[e],clara,51.01542224684994,41.19250576520138,3
4abut[e],splanchnicus,50.67781489111081,,1
for[e],goldsteinii,50.57657746993815,,1
gly[e],fergusonii,50.4920473543733,,1
ser_L[e],multacida,50.26741131043334,,1
glc_D[e],merdae,50.1763094245506,70.46133893928139,2
phe_L[e],clara,50.09759386651583,60.81146703981942,2
indole[e],colihominis,50.00000000000017,,1
leu_L[e],spiroforme,50.0,,1
co2[e],spiroforme,50.0,,1
oxa[e],hansenii,49.99999999999934,,1
7ocholate[e],thetaiotaomicron,49.97269330659708,,1
ala_L[e],wadsworthia,49.845330684743104,,1
pac[e],uniformis,49.72027900450621,16.92488295791602,3
fru[e],cellulosilyticus,49.163593630121134,,1
asp_L[e],clarus,49.03142754993378,,1
for[e],faecis,48.67501520672528,83.84897909810293,3
succ[e],cellulosilyticus,47.62851614031733,,1
fru[e],angulatum,47.61904761904844,,1
arg_L[e],ovatus,47.10896172576446,33.01419064575183,2
ac[e],fragilis,46.92943300944976,,1
val_L[e],ramosum,46.90911497526781,,1
h2o[e],eggerthii,46.89048032279768,20.53659302978787,2
C02528[e],thetaiotaomicron,46.73946934558842,46.46989926263113,3
nh4[e],atypica,46.64821217301133,56.098969500169545,2
ura[e],atypica,46.41068268636578,56.4348869216472,2
h2o[e],uniformis,46.394279461524455,27.107551892403773,3
succ[e],thetaiotaomicron,46.335461663847845,42.741337183722834,2
fru[e],catenulatum,45.45454545454529,1.6077746776921858e-13,2
fru[e],pseudocatenulatum,45.23260448283844,0.3138719322347038,2
ala_L[e],putredinis,44.9999999999003,,1
co2[e],wadsworthia,44.40327016442272,45.85840866570746,2
uri[e],clarus,44.35717959650454,,1
glu_L[e],invisus,44.10656336959286,,1
h2o_m,medium,43.63829313745871,7.592329886724747,3
fru[e],fragilis,43.22151505355046,47.5637098866811,2
glyclt[e],distasonis,42.372383407377015,20.14367686331686,2
gsn[e],stercorea,42.36965749580367,,1
mal_L[e],eggerthii,42.22820429470335,57.46027802665631,3
3mop[e],pullicaecorum,42.059808996574134,,1
ser_L[e],uniformis,41.81142789043503,24.25718082985503,2
for[e],bryantii,41.49669110330199,,1
g6p[e],fergusonii,41.463373655914516,,1
ac[e],bryantii,40.95353021888265,,1
glu_L[e],prausnitzii,40.93313670879761,,1
co2[e],bryantii,40.81966511889919,,1
cytd[e],xylanisolvens,40.749499599476,32.99745435547915,2
met_L[e],xylanisolvens,40.72760690441887,28.87471971092815,3
succ[e],bryantii,40.21092372852115,,1
2obut[e],eggerthii,40.18510354122443,20.383207345692455,3
h[e],excrementihominis,40.128230076350434,,1
lac_D[e],putredinis,40.000000000072475,,1
asn_L[e],plautii,39.52473201749499,,1
asn_L[e],fragilis,39.41785352238014,,1
cit[e],plautii,39.08415719811415,,1
pi[e],jalaludinii,38.99632951727109,,1
nh4[e],corporis,38.98305631319904,,1
ura[e],pilosicoli,38.97910290609432,,1
nh4[e],goldsteinii,38.941560753220706,,1
ser_L[e],muciniphila,38.583150131536584,,1
succ[e],ovatus,38.554887314083594,,1
actn_R[e],thermophilus,38.431132844335764,11.923422414628918,2
etoh[e],succinatiphilus,38.20609985000513,,1
gln_L[e],melaninogenica,37.82043587842554,,1
fru[e],uniformis,37.62193465085111,16.789773875914516,3
ser_L[e],putredinis,37.49999999995475,,1
pac[e],fragilis,37.211553302953355,,1
acac[e],plautii,37.20641517019408,,1
phe_L[e],ovatus,36.47587013152561,45.37985783375016,2
ser_L[e],eggerthii,35.9710199859321,,1
phe_L[e],pilosicoli,35.56427457554662,,1
gsn[e],nordii,35.18235595137821,,1
pi[e],clarus,34.79253829009619,,1
gbbtn[e],fergusonii,34.7009408602155,,1
gua[e],kashiwanohense,34.62615217369131,16.65739228951572,2
glyc[e],bartlettii,34.467453885122964,,1
val_L[e],excrementihominis,34.29748898925436,22.296260696044317,2
gua[e],clara,34.271899282342055,,1
acgam[e],uniformis,34.2443803005239,21.407761959415037,3
nac[e],pilosicoli,34.219916716203386,,1
succ[e],hadrus,34.08656826245658,,1
ac[e],xylanisolvens,33.82869620680668,,1
asn_L[e],merdae,33.33333333333843,,1
succ[e],merdae,33.33333333333647,,1
uri[e],merdae,33.33333333333334,,1
dad_2[e],merdae,33.33333333333334,,1
ser_L[e],merdae,33.3333333333302,,1
ser_L[e],clarus,33.2489445822665,,1
pro_L[e],dentium,32.89662186012292,,1
26dap_M[e],intestinihominis,31.459550446385354,,1
succ[e],corporis,30.588292827510585,,1
cys_L[e],ovatus,30.382564927059114,,1
cys_L[e],plautii,30.164291093737,8.359505989362773,2
nh4[e],conceptionensis,29.925391504427353,,1
ins[e],goldsteinii,29.864315036009913,,1
co2[e],hadrus,29.56715868771798,,1
ncam[e],clara,29.30246573118078,,1
nh4[e],wadsworthia,28.65439662297618,,1
thr_L[e],eggerthii,28.581304428508,,1
orn[e],xylaniphila,28.362742621280667,,1
dad_2[e],longum,28.272025531193055,,1
succ[e],invisus,27.946718315203775,,1
lac_L[e],invisus,27.94671831520377,,1
gly[e],plautii,27.557469932145832,,1
acgam[e],ovatus,27.277690299832216,,1
co2[e],multacida,27.211708807115755,,1
phe_L[e],clarus,26.937332309005843,35.339848157891325,2
arg_L[e],longum,26.889743201681483,,1
nac[e],merdae,26.77662178354149,,1
succ[e],multacida,26.70602877313108,,1
cytd[e],ovatus,26.585529389168865,,1
mal_L[e],multacida,26.30770184719383,,1
succ[e],succinatiphilus,26.277408369013852,,1
ser_L[e],laneus,26.124422795659086,,1
for[e],uniformis,26.10271041416591,11.760929664252377,2
co2[e],buccae,25.449884323018438,,1
nh4[e],disiens,25.440959518799307,,1
thr_L[e],uniformis,25.306698965472197,13.492217411000023,3
lac_L[e],uniformis,25.27534440386738,32.16447372545529,2
pydxn[e],merdae,24.875809586381706,,1
h2s[e],merdae,24.576750717353928,,1
acgam[e],xylanisolvens,24.443115976680247,,1
strch2[e],angulatum,24.404761904761944,,1
thr_L[e],plautii,24.253227721289022,,1
pyr[e],atypica,24.049699571863467,29.850247942989785,2
succ[e],xylanisolvens,24.02243378509503,,1
co2[e],capillosus,23.782341423033586,,1
glu_L[e],bryantii,23.572015701295854,,1
uri[e],asburiae,22.98172447401055,,1
co2[e],putredinis,22.499999999927525,,1
gln_L[e],atypica,22.48227912545928,,1
pi[e],fergusonii,22.295380702457948,,1
val_L[e],clara,22.158349900192594,,1
h2s[e],bifidum,22.152881129827428,,1
pi[e],wadsworthia,22.127333960566418,14.909155440512357,2
thr_L[e],prausnitzii,21.813032038028084,,1
acald[e],plautii,21.128744732343804,,1
cytd[e],fragilis,20.900883609019587,,1
nh4[e],dentium,20.726160167809667,7.533371273908995,2
akg[e],multacida,20.146710129346957,,1
fum[e],thermophilus,19.999999999999886,,1
nh4[e],thermophilus,19.999999999999726,,1
gcald[e],fluxus,19.879974127492208,,1
trp_L[e],uniformis,19.51473015129387,5.106985734481544,2
val_L[e],faecis,19.179542462788344,,1
leu_L[e],wadsworthia,18.96016932224012,,1
leu_L[e],excrementihominis,18.952515556337918,,1
succ[e],intestinihominis,18.329628073189664,,1
cys_L[e],ramosum,18.181818181818322,,1
gly[e],ramosum,18.181818181818322,,1
nac[e],fergusonii,17.9377634625215,,1
lac_L[e],mitsuokai,17.914741509051495,,1
lys_L[e],muciniphila,17.355663284309458,,1
malt[e],jalaludinii,16.782767167114756,,1
pac[e],bartlettii,16.666666666666657,,1
galur[e],ruminicola,16.25384584257361,,1
co2[e],breve,16.099431176533855,15.362642593755199,2
C02528[e],ovatus,16.03511681569119,,1
adn[e],clara,15.695963236954313,,1
gua[e],pullicaecorum,15.389183391021845,,1
co2[e],eggerthii,15.334874289792438,7.973902401984392,2
h2o[e],pullicaecorum,14.347402076077401,,1
h2s[e],uniformis,14.238132961383101,10.729815129499706,3
co2[e],plautii,13.597947734079654,,1
acnam[e],ovatus,13.326831554658744,,1
acnam[e],eggerthii,13.219768190776605,,1
ins[e],cellulosilyticus,13.080630992551798,,1
cytd[e],longum,13.006993033461919,,1
for_m,medium,12.933968251534997,6.786593318993346,3
leu_L[e],xylanisolvens,12.661964503279847,,1
strch2[e],merdae,12.500000000000027,,1
leu_L[e],plautii,12.416342837261638,,1
arg_L[e],uniformis,12.411947605289406,3.4763617446505344,2
12ppd_S[e],faecis,12.18863527689098,,1
for[e],ovatus,12.149722377995685,,1
ala_L[e],formicigenerans,12.122953835202338,,1
dgsn[e],jalaludinii,12.093743398828096,,1
lys_L[e],capillosus,11.891170711516793,,1
nh4[e],stercorea,11.624483117339668,,1
co2_m,medium,11.603848087220806,1.2107469098757464,3
thf[e],longum,11.579307647145765,,1
phe_L[e],intestinihominis,11.396683953487308,,1
mnl[e],longum,11.314750400296276,,1
nh4[e],uniformis,11.284390241399251,13.587571238284982,2
ser_L[e],wadsworthia,11.058413933557812,,1
fum[e],prausnitzii,11.053607610185313,,1
nh4[e],cellulosilyticus,10.741211764221717,,1
succ[e],splanchnicus,10.648770342740068,,1
cys_L[e],ruminicola,10.37294604734306,,1
orn[e],clara,10.355967283249873,,1
nac[e],stercorea,10.01275334306077,,1
3mop[e],atypica,9.999492780935526,,1
galur[e],prausnitzii,9.810040157081232,,1
cytd[e],bifidum,9.736378084621924,,1
lac_L[e],angulatum,9.52380952380809,,1
for[e],albensis,9.170589677452154,,1
cytd[e],cellulosilyticus,9.127387482417417,,1
co2[e],fragilis,9.107044076236711,12.541175976053681,2
co2[e],catenulatum,9.09090909090935,,1
val_L[e],catenulatum,9.09090909090935,,1
cytd[e],adolescentis,8.969808556746303,,1
uri[e],disiens,8.889089749582888,,1
leu_L[e],ramosum,8.848480837453963,,1
urea[e],ovatus,8.81064903171533,,1
asn_L[e],uniformis,8.76695969103429,10.647278260939906,3
ser_L[e],fluxus,8.450933290490106,,1
ac[e],merdae,8.426787483617792,,1
cholate[e],prausnitzii,8.227910616732357,,1
meoh[e],ruminicola,8.126922921286805,,1
glc_D[e],cellulosilyticus,7.89470016546538,10.781310259017808,2
12ppd_S[e],pilosicoli,7.180896694158198,,1
lac_D[e],conceptionensis,7.180636434995206,,1
co2[e],pullicaecorum,7.173701038038985,,1
leu_L[e],eggerthii,7.047021935197407,,1
h2_m,medium,6.841003500550502,7.980421163241735,3
nh4[e],hadrus,6.779114362107457,,1
hxan[e],plautii,6.5589268095792805,8.773712450498968,2
dad_2[e],cellulosilyticus,6.473768927017214,,1
his_L[e],plautii,6.340610998714068,8.464967269892904,2
dad_2[e],thetaiotaomicron,5.450002459088152,,1
thymd[e],xylaniphila,5.337015707201094,,1
glu_L[e],oleiciplenus,5.332887233218805,,1
thymd[e],clara,5.297513274052865,2.555087288511821,3
leu_L[e],prausnitzii,5.181840148817031,,1
gal[e],xylanisolvens,5.173705958872802,,1
adn[e],xylanisolvens,5.1221422727166805,6.089802884816536,2
dcyt[e],xylanisolvens,5.122142272716671,6.089802884816522,2
acgam[e],eggerthii,5.047304047024525,,1
nh4[e],fergusonii,5.02128978738304,,1
meoh[e],prausnitzii,4.905020078540616,,1
ppa_m,medium,4.679177502894362,5.01822493722671,2
glc_D[e],thetaiotaomicron,4.667017984293204,6.451899010580793,3
adn[e],fragilis,4.4102953909143485,,1
dcyt[e],fragilis,4.407506909467245,3.9335476899906845,3
pro_L[e],ovatus,4.247979392401619,,1
dad_2[e],splanchnicus,4.166316245414958,0.022948874829007055,2
levantttr[e],cellulosilyticus,3.879559428114021,,1
xtsn_m,medium,3.717094451087384,,1
gln_L[e],faecis,3.636092613327782,,1
h_m,medium,3.606476966685636,,1
lys_L[e],multacida,3.481766258485281,,1
2ddglcn[e],asburiae,3.3396190997293207,,1
pi[e],disiens,3.2748264691412032,,1
cytd[e],uniformis,3.257873537468864,1.2849772550006384,2
gsn[e],thetaiotaomicron,3.0816767176359394,,1
asp_L[e],plautii,3.021834489147567,,1
mnl[e],oleiciplenus,2.9685306907475915,,1
ac[e],intestinihominis,2.75356777340898,,1
dad_2[e],distasonis,2.7468689626681213,0.689761257090782,2
ppa[e],fergusonii,2.704869049462996,,1
ins_m,medium,2.582700393193612,1.6168032119391103,2
ins[e],clarus,2.554769050852067,1.472886771315254,2
7ocholate[e],ovatus,2.495540601155767,,1
h2s_m,medium,2.4913386544998066,0.5700844906927487,3
ins[e],ruminicola,2.4478943301246585,,1
ins[e],fluxus,2.359881277466866,0.36293777837616426,2
ttdca[e],cellulosilyticus,2.339419228329703,,1
urea[e],cellulosilyticus,2.316060020323222,,1
ura_m,medium,2.26207426296542,1.0529204902950031,3
h[e],hadrus,2.2597047873687712,,1
hxan_m,medium,2.08580567068744,2.825920244574131,2
adn[e],faecis,1.9371741124904354,,1
pac_m,medium,1.9178693873561619,0.18099218742965661,3
ttdca[e],uniformis,1.8965725616175586,1.52863619936128,2
nac_m,medium,1.8849637751841801,0.1456383674665878,3
arg_L[e],xylanisolvens,1.7605497867957245,,1
malt[e],thetaiotaomicron,1.5827622795465341,0.25144045049970964,2
glu_L[e],parvula,1.572466048569936,,1
4abut_m,medium,1.482897462559777,,1
dad_2[e],clarus,1.4565404325864446,,1
ins[e],xylaniphila,1.3641986059681026,,1
ins[e],clara,1.1912980959207211,0.8329573581456139,2
for[e],virosa,1.1333755056077255,,1
ocdca_m,medium,1.1066559818668225,0.7381529558698627,2
uri_m,medium,1.0497145929449454,,1
glyc[e],clarus,1.029591524026272,0.5935846667200049,2
ins[e],buccae,1.0036169994817061,,1
tma_m,medium,1.0,,1
ins[e],thetaiotaomicron,0.9969345408393453,,1
pydxn_m,medium,0.9951097042804196,,1
glyc[e],ruminicola,0.9865201917831812,,1
ins[e],oleiciplenus,0.9558180380977568,0.7743239909001783,2
lac_D[e],merdae,0.9446032894017183,,1
ins[e],nordii,0.9348838294788823,,1
ins[e],faecis,0.9119593292900194,,1
xyl_D[e],xylanisolvens,0.8174190983090739,0.5643564321490938,3
glyc[e],melaninogenica,0.7867484620239714,,1
nh4[e],pseudocatenulatum,0.779283744877489,,1
for[e],splanchnicus,0.6956236870315871,0.0038316296654980543,2
glyc[e],conceptionensis,0.6908327327475169,,1
for[e],thetaiotaomicron,0.6259848841013701,0.2558140871146231,3
gcald[e],albertii,0.6257415640174618,,1
gcald[e],fergusonii,0.6245292013803603,,1
for[e],oleiciplenus,0.6051510263534885,0.5042753900557293,3
gua_m,medium,0.6008992953537581,0.2945143399737586,2
for[e],salyersiae,0.584382232560767,0.4712205850522254,3
for[e],nordii,0.5834247704720602,0.3156983128138795,3
glyc[e],xylaniphila,0.5497825023850054,,1
glyc[e],clara,0.5458593384686297,0.2632779164269344,3
ins[e],salyersiae,0.5369114195658549,,1
for[e],distasonis,0.5295278975821778,0.147350294964054,3
adn[e],intestinihominis,0.500447203460454,,1
acald[e],albensis,0.4854567390833024,,1
malttr[e],adolescentis,0.4727197630948865,0.05126579303259354,2
ile_L[e],pilosicoli,0.47264364873337783,,1
xyl_D[e],fragilis,0.4592226856281201,0.5459841186287767,2
thymd_m,medium,0.4563271094962753,,1
malttr[e],fragilis,0.4327775602078532,,1
thymd[e],longum,0.43070001991398965,,1
galur[e],ovatus,0.4148419399441006,0.5505796523316515,3
glyc[e],buccae,0.40446534910480947,,1
thr_L[e],atypica,0.39425828698950416,,1
for[e],fragilis,0.39326154194796153,0.5338755892415135,2
gcald[e],virosa,0.3777918352025752,,1
thf_m,medium,0.36948303318469383,0.4929172307081674,2
gcald[e],salyersiae,0.3557799984882445,,1
arab_L[e],ovatus,0.3510028557311749,0.49294413373258006,2
glc_D[e],adolescentis,0.34287506276483776,0.321179530284987,3
malt[e],adolescentis,0.34287506276483776,0.321179530284987,3
phe_L[e],pseudocatenulatum,0.33707831481447337,,1
gcald[e],splanchnicus,0.3091660831251535,0.0017029465180028512,2
gal[e],fragilis,0.2956564255833456,0.298579019983373,2
gcald[e],ruminicola,0.28688577891215467,,1
gcald[e],disiens,0.27978888134134344,,1
gcald[e],faecis,0.2768320138177806,0.15934424502906927,3
arab_L[e],fragilis,0.27553361137687205,0.32759047117726603,2
succ[e],pilosicoli,0.26297068229702925,,1
gal[e],uniformis,0.23705896982893707,0.2388489330364894,3
gcald[e],melaninogenica,0.22879100419395448,,1
gal[e],longum,0.209786042105506,,1
gcald[e],dentium,0.2093984424081234,0.09128206093212317,2
for[e],succinatiphilus,0.2001838096323235,,1
glyc[e],stercorea,0.19905429921138496,,1
glc_D[e],ovatus,0.18461168912037587,0.005111070064064318,2
malttr[e],ovatus,0.18176781949250653,,1
malt[e],ovatus,0.18099761681895643,,1
gcald[e],corporis,0.17321969792032893,,1
acald[e],bryantii,0.17117448242504987,,1
gcald[e],thetaiotaomicron,0.17072315020946457,0.06976747830398809,3
gly[e],multacida,0.16856001132822684,,1
his_L[e],multacida,0.16856001132822684,,1
gcald[e],adolescentis,0.16373718859076003,,1
glc_D[e],uniformis,0.16240317097084642,0.10361988059520325,3
gcald[e],xylaniphila,0.1598799322534907,,1
for[e],pseudocatenulatum,0.15927960309513234,,1
thf[e],pseudocatenulatum,0.15927960309513234,,1
gcald[e],clara,0.15873905349061648,0.07656274119233437,3
xyl_D[e],longum,0.1483555949469917,,1
oxa_m,medium,0.14701622940081377,,1
man[e],ovatus,0.14681609391857364,,1
glyc[e],plautii,0.12909772020591886,0.011543478018023304,2
for[e],laneus,0.12550548679289025,,1
arab_L[e],longum,0.12150510406999615,,1
2obut[e],jalaludinii,0.12120815227625743,,1
nac[e],salyersiae,0.11859333282941269,,1
ins[e],albensis,0.1178207117046797,,1
gcald[e],oleiciplenus,0.1120189703384609,0.09074841937658196,2
gcald[e],fragilis,0.11200827502667335,0.15205779729588606,2
gcald[e],goldsteinii,0.1109543832834392,,1
rmn[e],ovatus,0.10829723588563213,0.13016298459608364,2
glyc[e],intestinihominis,0.10694526707301091,,1
succ[e],formicigenerans,0.10148115442495764,,1
arab_L[e],thetaiotaomicron,0.09739900344628438,,1
nac[e],ruminicola,0.09562859297071816,,1
xan_m,medium,0.09003538270937228,,1
gal[e],ovatus,0.0777103111396856,0.03754140143966523,2
urea[e],splanchnicus,0.0772915207812874,0.000425736629499864,2
galur[e],thetaiotaomicron,0.07718290691630827,,1
nac[e],splanchnicus,0.07699047952356855,,1
for[e],parvula,0.0753449781100772,,1
2obut[e],bifidum,0.07110762025793674,,1
nac[e],oleiciplenus,0.06723900292816416,0.056030598895079,3
man[e],uniformis,0.05993561446359763,0.024890169828654114,2
for[e],stercorea,0.05788614176446783,,1
gcald[e],stercorea,0.05788614176446783,,1
succ[e],xylaniphila,0.05329331075116357,,1
glyc[e],albensis,0.04748265056891259,,1
glc_D[e],fragilis,0.04592226856281201,0.05459841186287767,2
succ[e],clara,0.04459547131966701,0.029791686685625676,2
o2[e],splanchnicus,0.03864576039064529,0.00021286831475217182,2
malt[e],uniformis,0.038436178766119156,0.01596184547093869,2
o2[e],distasonis,0.03729604083918882,,1
nac[e],goldsteinii,0.036984794427926716,,1
glc_D[e],pseudocatenulatum,0.03575399320965289,,1
malt[e],pseudocatenulatum,0.03575399320965289,,1
gcald[e],bifidum,0.03555381012896837,,1
glcur[e],ovatus,0.030845113225964838,,1
apio_D[e],ovatus,0.030845113225964838,,1
rmn[e],thetaiotaomicron,0.027892342582916285,,1
xyl_D[e],uniformis,0.02744162806834538,0.00812707052616088,3
lmn2[e],uniformis,0.027149468840974578,,1
malttr[e],pseudocatenulatum,0.026394024753438085,,1
malttr[e],uniformis,0.02568725424509921,0.010632236938775751,2
2omfuc[e],ovatus,0.02056340881730989,,1
kdo[e],ovatus,0.02056340881730989,,1
3ddlhept[e],ovatus,0.02056340881730989,,1
2omxyl[e],ovatus,0.02056340881730989,,1
o2[e],bifidum,0.017776905064484184,,1
glc_D[e],longum,0.014835559494699169,,1
gal[e],thetaiotaomicron,0.014515320760651207,,1
acerA[e],ovatus,0.010281704408654946,,1
hxan[e],parvula,0.00941812226375965,,1
glcur[e],longum,0.005297567462250186,,1
fuc_L[e],uniformis,0.004573604677402996,0.001354511755272858,3
glcur[e],thetaiotaomicron,0.004294489747197128,,1
apio_D[e],thetaiotaomicron,0.004294489747195485,,1
2ddglcn_m,medium,0.0037754759946630303,,1
xyl_D[e],ovatus,0.0031984371852570924,0.003373651487744229,2
arab_L[e],uniformis,0.003042611731264818,0.0043437704559968395,3
kdo[e],thetaiotaomicron,0.0028629931647969897,,1
3ddlhept[e],thetaiotaomicron,0.0028629931647969897,,1
2omfuc[e],thetaiotaomicron,0.0028629931647969897,,1
2omxyl[e],thetaiotaomicron,0.0028629931647969897,,1
fuc_L[e],thetaiotaomicron,0.0028629931647969897,,1
acerA[e],thetaiotaomicron,0.0014314965823984949,,1
glcur[e],uniformis,0.0012645250744904885,,1
apio_D_m,medium,0.0008009609999995112,1.4721533411940706e-15,2
xyl_D[e],thetaiotaomicron,0.0007774423637840755,,1
2omfuc_m,medium,0.0005339739999996742,9.814611160190278e-16,2
3ddlhept_m,medium,0.0005339739999996742,9.814611160190278e-16,2
kdo_m,medium,0.0005339739999996742,9.814611160190278e-16,2
2omxyl_m,medium,0.0005339739999996742,9.814611160190278e-16,2
acerA_m,medium,0.0002669869999998371,4.907305580095139e-16,2
