species,metabolite,rho,pval,qval,pathway,metabolite_name
Anaerostipes caccae,C00803_Valerate,-0.18644062441885453,0.0004809798647087333,0.002506531077342957,Other,C00803
Aphodomorpha sp900549955,C17714_Heptanoate,-0.18639220270483056,0.0004826441179820767,0.002514448232443884,Other,C17714
ER4 sp900552015,C01586_Hippurate,0.18638195064069102,0.0004829971664509617,0.002514776237815848,Other,C01586
Agathobacter sp900546625,C00296_Quinate,-0.1863826290015896,0.0004829737984530946,0.002514776237815848,Other,C00296
Lachnospira sp003537285,C00407_Ile,-0.1863732473854026,0.0004832970670593183,0.0025155822721928734,Amino Acid,C00407
Lachnospira rogosae_A,C00630_Isobutyryl CoA,0.1863131414857634,0.00048537294801757604,0.002525629103460004,Other,C00630
Actinomyces sp900323545,C05145_3-Aminoisobutyrate,-0.186293303639927,0.000486059904065736,0.0025284448294904684,Other,C05145
Alistipes_A ihumii,C00423_trans-Cinnamate,0.18623382828222568,0.00048812486450092537,0.0025381610238488003,Other,C00423
Fimimonas sp003537755,C00079_Phe,0.18623107945952064,0.0004882204991657486,0.0025381610238488003,Other,C00079
CAG-488 sp003486665,C00493_Shikimate,-0.18619613068156624,0.0004894379245398378,0.0025429651590265835,Other,C00493
Eubacterium_F sp003491505,C00178_Thymine,-0.1862002714546855,0.0004892935354686161,0.0025429651590265835,Other,C00178
CAG-488 sp000434055,C01046_N-Methylglutamate,-0.18617193143198857,0.0004902825456946447,0.0025465904066068754,Other,C01046
Ruminococcus_E sp902766775,C00364_dTMP,0.18615955817609672,0.0004907149294452036,0.0025480729100691643,Other,C00364
Anaerovibrio sp900768695,C02656_Pimelate,-0.18608958285450908,0.0004931668890267618,0.002560038180223352,Other,C02656
CAG-83 sp002438575,C01015_Hydroxyproline,0.18607685552795244,0.0004936140797066953,0.0025615926111806895,Other,C01015
Ruminiclostridium_E sp900539195,C16741_5-Hydroxylysine,-0.18606005383744387,0.0004942050048546149,0.0025638917935874666,Other,C16741
Tidjanibacter inops_A,C01585_Hexanoate,0.18604140533733127,0.000494861652346137,0.002566530460178679,Other,C01585
Faecalibacterium prausnitzii_D,C01425_Glu-Glu,-0.1860365027498934,0.0004950344157501323,0.0025666587022355842,Other,C01425
Lachnospira sp003537285,C02571_o-Acetylcarnitine,-0.18601716297648216,0.0004957164807357891,0.0025694267094161765,Other,C02571
Escherichia albertii,C00123_Leu,0.18598896317362465,0.0004967125802507631,0.002573820297784737,Amino Acid,C00123
QALW01 sp900547955,2-Hydroxypentanoate,0.18594484648099938,0.00049827463890999,0.0025811430204426074,Other,2-Hydroxypentanoate
Prevotella sp002451555,C00398_Tryptamine,-0.18594011079589942,0.0004984425881020531,0.002581241813773416,Indole / Tryptophan,C00398
Scatavimonas merdipullorum,C05635_5-Hydroxyindoleacetate,-0.18592782793427018,0.000498878439858853,0.002582143679513174,Other,C05635
Ruminococcus_D sp900539095,C01585_Hexanoate,0.18592680935637604,0.0004989145995137347,0.002582143679513174,Other,C01585
Alistipes onderdonkii,C05122_Taurocholate,-0.18591809603784157,0.0004992240229600407,0.002582974070450966,Bile Acid,C05122
Prevotella sp900557255,C05127_1-Methylhistamine,0.18590973706240477,0.0004995210305506941,0.0025837397457302903,Other,C05127
Evtepia excrementipullorum,C00134_Putrescine,-0.18589102526912818,0.000500186484778856,0.0025864101619731002,Polyamine,C00134
CAG-83 sp000435555,C01585_Hexanoate,0.18588286653661124,0.0005004768942719634,0.0025871402483265654,Other,C01585
Anaerovibrio sp900768695,C02714_N-Acetylputrescine,0.18587092071395298,0.0005009023873376108,0.002588567985591504,Other,C02714
QWKK01 sp009911695,C05332_Phenethylamine,0.1858601263445361,0.000501287156075232,0.002589784479151481,Other,C05332
Christensenella intestinihominis,C00785_Urocanate,-0.18583562717157162,0.0005021614551220041,0.002593528540037327,Other,C00785
Prevotella sp900557405,C00398_Tryptamine,-0.18577080122210288,0.0005044817236800304,0.0026047361897451955,Indole / Tryptophan,C00398
Alistipes putredinis,C05332_Phenethylamine,-0.18574768401969333,0.0005053115453562176,0.0026076139419539614,Other,C05332
Paraclostridium tenue,C00253_Nicotinate,0.18574689528559282,0.000505339880318682,0.0026076139419539614,Other,C00253
Faecalibacterium prausnitzii_D,C00847_4-Pyridoxate,0.1857368377140945,0.0005057013239488001,0.0026087026345207663,Other,C00847
ER4 sp000765235,C00475_Cytidine,0.18571325997085988,0.0005065495891271101,0.002612301242202806,Other,C00475
Gemmiger qucibialis,C00242_Guanine,0.18567949967770267,0.0005077664952800034,0.0026177982441762415,Other,C00242
Bulleidia intestinalis,C01672_Cadaverine,0.18566644199824694,0.0005082378929477182,0.00261844064030192,Polyamine,C01672
Avispirillum faecium,C01959_Taurocyamine,-0.18566349972353471,0.0005083441686040064,0.00261844064030192,Other,C01959
UBA11475 sp003538975,3-Indoxyl sulfate,-0.18566981111012976,0.000508116225158838,0.00261844064030192,Other,3-Indoxyl sulfate
S5-A14a sp000758905,C00417_cis-Aconitate,-0.18564173233088405,0.0005091310529545814,0.002621714937964518,Other,C00417
CAG-103 sp900543625,C00314_Pyridoxine,0.18563143530943263,0.000509503680770253,0.002622854755699123,Other,C00314
Avimicrobium caecorum,C00785_Urocanate,0.18559250523895726,0.0005109147678806096,0.002629338155391513,Other,C00785
SIG291 sp015057605,C00482_Sinapate,-0.18558674788899954,0.0005111237604991937,0.0026296331630667716,Other,C00482
Lachnospira sp003451515,C00300_Creatine,-0.18557826915707604,0.0005114316841354536,0.0026304368257313838,Other,C00300
Scatomorpha intestinavium,C00300_Creatine,0.18554437861877582,0.0005126642131937805,0.002635994106866479,Other,C00300
Gemmiger sp900540595,C17714_Heptanoate,0.1855222425107198,0.0005134707455697358,0.0026393583713869196,Other,C17714
Aphodomorpha sp900549955,C00152_Asn,-0.18550503112939334,0.0005140986583743313,0.0026418027678998686,Other,C00152
Prevotella sp900557405,C00003_NAD+,0.18544435322399225,0.0005163180241853672,0.002651429379045124,Other,C00003
Barnesiella intestinihominis,C00423_trans-Cinnamate,0.18544127668756816,0.0005164307886166445,0.002651429379045124,Other,C00423
Alloprevotella sp900540885,C00398_Tryptamine,-0.1854426651948551,0.0005163798927655796,0.002651429379045124,Indole / Tryptophan,C00398
Alistipes onderdonkii,C01015_Hydroxyproline,-0.1854039262824552,0.0005178016189952126,0.00265768042336856,Other,C01015
UMGS1590 sp900552455,C00482_Sinapate,-0.18535597432797254,0.0005195664968356489,0.002664915711971594,Other,C00482
Christensenella sp014287795,C00134_Putrescine,0.18535997780457109,0.0005194189350721704,0.002664915711971594,Polyamine,C00134
Gemmiger qucibialis,C00576_Betaine aldehyde,0.185352181121499,0.0005197063442666978,0.002664915711971594,Other,C00576
Caecibacter sp003467125,C01672_Cadaverine,0.18534893360764615,0.0005198261009279001,0.002664915711971594,Polyamine,C01672
UBA10281 sp900554485,C00334_GABA,0.18533987324939585,0.0005201603498356779,0.002665751702750883,Other,C00334
UBA737 sp902762875,C05635_5-Hydroxyindoleacetate,-0.1853361794688117,0.0005202966756320792,0.002665751702750883,Other,C05635
UMGS929 sp900546875,C05629_3-Phenylpropionate,-0.1852914016305063,0.0005219519236760712,0.0026734423789352207,Other,C05629
CAG-488 sp000434055,C05629_3-Phenylpropionate,-0.18527933889307052,0.0005223986670029308,0.0026742543828306687,Other,C05629
Ruminococcus_E sp902766775,C02656_Pimelate,0.1852746292968089,0.0005225731831255223,0.0026742543828306687,Other,C02656
Escherichia sp002965065,C01046_N-Methylglutamate,-0.18527813958037148,0.000522443102919722,0.0026742543828306687,Other,C01046
Escherichia sp005843885,C05984_2-Hydroxybutyrate,0.18527020450580106,0.0005227371949542081,0.002674304362973166,Other,C05984
UBA10281 sp900554485,C00493_Shikimate,-0.1852621278742408,0.0005230366911591316,0.0026750472422764084,Other,C00493
Phascolarctobacterium_A sp900770955,C00163_Propionate,0.18521953312627557,0.0005246188177816544,0.0026823477035382848,SCFA,C00163
Eubacterium_R sp910577195,C00847_4-Pyridoxate,-0.18519731707322928,0.0005254457651657867,0.0026857838079140358,Other,C00847
UBA11524 sp000437595,C02656_Pimelate,0.18515443262230757,0.0005270454733648499,0.002693166642263415,Other,C02656
Barnesiella intestinihominis,2-Hydroxypentanoate,-0.18513333872370996,0.0005278339908342556,0.002696401217762028,Other,2-Hydroxypentanoate
Galloscillospira_B excrementipullorum,C05332_Phenethylamine,0.18508581087128928,0.0005296146572039866,0.0027047007147577968,Other,C05332
Prevotella sp900313215,C05123_Isethionate,-0.1850726999918316,0.0005301068459394389,0.002706417106860421,Other,C05123
Pauljensenia turicensis,C00408_Pipecolate,0.18503542209764073,0.0005315085957197865,0.0027084662821339656,Other,C00408
Lachnospira sp000436475,C00191_Glucuronate,-0.18503860739315042,0.000531388685749127,0.0027084662821339656,Other,C00191
Faecalibacterium sp900539945,C00300_Creatine,-0.18505727393269805,0.0005306864910266027,0.0027084662821339656,Other,C00300
Alistipes avistercoris,"C03283_2,4-Diaminobutyrate",0.18504370563101477,0.000531196815583019,0.0027084662821339656,Other,C03283
Enterocloster sp001517625,C17714_Heptanoate,-0.18505337159065186,0.0005308332174551486,0.0027084662821339656,Other,C17714
Lactobacillus amylolyticus,C01879_5-Oxoproline,-0.1850346376479447,0.0005315381300628606,0.0027084662821339656,Other,C01879
Barnesiella intestinihominis,C00576_Betaine aldehyde,0.18503294858924701,0.0005316017278868315,0.0027084662821339656,Other,C00576
UMGS1590 sp900552455,C00630_Isobutyryl CoA,-0.1849589524931036,0.000534394828843632,0.002721897045385103,Other,C00630
Escherichia sp005843885,C01921_Glycocholate,0.1849461451470773,0.0005348796425211752,0.002723566297219423,Other,C01921
UMGS124 sp900539345,C05122_Taurocholate,0.18492162618916627,0.0005358089301016028,0.002727497131562416,Bile Acid,C05122
NM07-P-09 sp004793665,C01672_Cadaverine,0.1849110850852844,0.0005362089063307463,0.0027287320275792425,Polyamine,C01672
Gallispira edinburgensis,C00245_Taurine,0.18488177659933172,0.0005373224564443083,0.002733596464152411,Other,C00245
Prevotella sp900543975,C02230_3-Methylguanine,-0.18485795274839253,0.0005382292029103094,0.002737406254050732,Other,C02230
Avanaerovorax faecigallinarum,"C04259_N-alpha,N-alpha-Dimethylhistidine",-0.18485084496523402,0.0005385000031241433,0.0027376093494052216,Other,C04259
Prevotella sp900556395,C05598_Phenaceturate,-0.18484447435734336,0.000538742825018492,0.0027376093494052216,Other,C05598
Escherichia ruysiae,C08277_Sebacate,-0.18484853641668889,0.0005385879839577473,0.0027376093494052216,Other,C08277
Enterocloster sp001517625,C00847_4-Pyridoxate,-0.18481992547243242,0.0005396794797017645,0.0027399666287043407,Other,C00847
Clostridium butyricum,C00255_Riboflavin,0.18481989040314867,0.0005396808188386967,0.0027399666287043407,Other,C00255
Ruminococcus_E sp902766775,C00191_Glucuronate,-0.18482104635435218,0.0005396366799273026,0.0027399666287043407,Other,C00191
Fusobacterium sp000235465,C05629_3-Phenylpropionate,0.18479970147598118,0.000540452254295688,0.002743079972183442,Other,C05629
Roseburia inulinivorans,C05984_2-Hydroxybutyrate,-0.18477419377335108,0.0005414283871442132,0.0027472301364665987,Other,C05984
Acetatifactor sp003447295,C00719_Betaine,-0.1847674038388113,0.0005416885009118758,0.0027475472264646365,Other,C00719
Negativibacillus massiliensis,C01672_Cadaverine,-0.18475412593968207,0.0005421974953701318,0.0027475472264646365,Polyamine,C01672
Ruminiclostridium_E siraeum,C00489_Glutarate,0.18475511790172777,0.0005421594542081386,0.0027475472264646365,Other,C00489
CAG-170 sp000432135,C02378_6-Aminohexanoate,0.184751890607853,0.0005422832281094697,0.0027475472264646365,Other,C02378
Aphodousia sp900553105,C00186_Lactate,-0.18476143647621143,0.0005419171986914485,0.0027475472264646365,Other,C00186
W1P20-047 sp004555335,C06103_6-Hydroxyhexanoate,-0.18472410046800095,0.0005433501269399472,0.0027521485541585756,Other,C06103
Agathobacter rectalis,C00803_Valerate,0.18469468715512796,0.0005444814621250558,0.00275707347848254,Other,C00803
CAG-1427 sp900539675,C02614_Citramalate,-0.18466784646923798,0.0005455157516655419,0.0027615042634677855,Other,C02614
Paratractidigestivibacter faecalis,C00134_Putrescine,0.18463966031343576,0.0005466038495218588,0.0027650766415475907,Polyamine,C00134
Flemingibacterium merdigallinarum,C00489_Glutarate,-0.18464339401653973,0.0005464595981364322,0.0027650766415475907,Other,C00489
Ruminococcus_E bromii_B,C00576_Betaine aldehyde,0.1846371749235311,0.0005466998919843777,0.0027650766415475907,Other,C00576
Klebsiella ornithinolytica,"C00986_1,3-Diaminopropane",0.18461517915166906,0.0005475505530112479,0.002768571445934388,Other,C00986
Ruminococcus_E bromii_B,C00245_Taurine,-0.18460462094584465,0.000547959315335844,0.0027698304983361116,Other,C00245
CCUG-7971 spG000499525,C01744_3-(4-Hydroxyphenyl)propionate,0.18459005943354537,0.0005485235305531136,0.0027718743726988875,Other,C01744
Escherichia coli,C00407_Ile,0.18454574331997434,0.0005502439649029427,0.0027797581187317074,Amino Acid,C00407
Egerieicola pullicola,C00695_Cholate,0.18454057357721498,0.0005504449896165758,0.0027799636556866277,Bile Acid,C00695
UBA10281 sp900554485,C01672_Cadaverine,0.18451200963640169,0.0005515569228081213,0.002784768179279909,Polyamine,C01672
Escherichia coli,"C03283_2,4-Diaminobutyrate",-0.18450159914306066,0.0005519626987903302,0.002786005610371687,Other,C03283
Ruminiclostridium_E siraeum,C00791_Creatinine,-0.18448169595134467,0.0005527392480628036,0.0027890739545895415,Other,C00791
UBA5905 sp900763035,C04677_AICAR,-0.18447777552798011,0.0005528923279457985,0.0027890739545895415,Other,C04677
Ruminiclostridium_E sp910579265,C00847_4-Pyridoxate,-0.18445876113605342,0.0005536353365489327,0.0027920097338817325,Other,C00847
Erysipelatoclostridium ramosum,C01921_Glycocholate,0.18444898696899245,0.0005540176332903811,0.0027923132924385545,Other,C01921
Scatomorpha intestinavium,C05332_Phenethylamine,0.18445021734669903,0.0005539694960935905,0.0027923132924385545,Other,C05332
Prevotella sp002439605,C00785_Urocanate,-0.18444223549280184,0.0005542818465458997,0.002792833087885152,Other,C00785
Acetatifactor intestinalis,C00719_Betaine,-0.18443137041468669,0.0005547072874563158,0.0027941647152578742,Other,C00719
Prevotella sp900767615,C01089_3-Hydroxybutyrate,-0.18441552921280566,0.0005553281197600849,0.002796479506360834,Other,C01089
CAG-177 sp003538135,C00055_CMP,0.18440648622289948,0.0005556828122939632,0.002797453135758633,Nucleotide,C00055
Escherichia coli,C00483_Tyramine,0.18439558653190477,0.0005561106093003198,0.002798794120188373,Other,C00483
Ruminococcus_E bromii_B,C01104_Trimethylamine N-oxide,0.18438511560625637,0.0005565218655083922,0.002800051103942108,Other,C01104
Aphodomorpha sp900549955,C00300_Creatine,0.18436251789754352,0.0005574103747337537,0.0028037078842859946,Other,C00300
QWKK01 sp009911695,C00785_Urocanate,-0.18435636017342594,0.000557652715507563,0.002804113335693192,Other,C00785
Collinsella sp003479805,C01042_N-Acetylaspartate,-0.1843452721840842,0.0005580893360869852,0.0028054951896422584,Other,C01042
Prevotella sp900551985,C01672_Cadaverine,0.1843266169035814,0.0005588246553570913,0.0028083773549510867,Polyamine,C01672
Eubacterium_R sp002361935,C06103_6-Hydroxyhexanoate,-0.18431956432101995,0.0005591028749319447,0.0028089613577427,Other,C06103
Limivicinus faecipullorum,C00695_Cholate,0.18430822236097558,0.0005595505769265584,0.0028103962638333342,Bile Acid,C00695
Flemingibacterium sp900546315,C02835_Imidazole-4-acetate,-0.1842991905038172,0.0005599073298098623,0.0028113736705019958,Other,C02835
Leptotrichia wadei,C00719_Betaine,-0.18428532511881712,0.000560455414573189,0.0028133109374261583,Other,C00719
Streptococcus parauberis,C00366_Urate,-0.18426777347508147,0.0005611499269371867,0.002815981890951358,Other,C00366
S5-A14a sp000758905,C01425_Glu-Glu,-0.1842582520356398,0.0005615270207535003,0.002817058879000054,Other,C01425
Faecousia sp000434635,C00300_Creatine,-0.18424806552879233,0.0005619307145328804,0.002818268651597073,Other,C00300
Fimenecus sp000432435,C05629_3-Phenylpropionate,0.18422643423974744,0.0005627888605202266,0.0028217562937246066,Other,C05629
Bacillus_T coahuilensis,C02678_Dodecanedioate,0.18421340595488817,0.0005633062984901155,0.0028235341437472168,Other,C02678
Alistipes avistercoris,C00311_Isocitrate,0.18420912617184163,0.0005634763727587246,0.0028235703326273897,Other,C00311
CAG-488 sp016292785,C02656_Pimelate,-0.18420204989196967,0.0005637576814437478,0.0028241637332770005,Other,C02656
CAG-269 sp000437215,C00134_Putrescine,0.18418357411888914,0.0005644927767525774,0.00282702939437787,Polyamine,C00134
UBA9506 sp003506415,C00152_Asn,-0.1841794228283368,0.0005646580663228114,0.0028270405873245465,Other,C00152
Prevotella multisaccharivorax,C05127_1-Methylhistamine,0.18415230996554333,0.0005657387078961097,0.002831633290272156,Other,C05127
RGIG8773 sp018110825,C00489_Glutarate,-0.1841433650085387,0.0005660956489052395,0.00283260212430564,Other,C00489
Streptococcus parauberis,C00079_Phe,-0.18413503597853753,0.0005664281995916922,0.0028334483913793305,Other,C00079
Prevotella sp900550035,C05123_Isethionate,-0.18411672207824653,0.0005671600503098371,0.0028358440020472522,Other,C05123
Prevotella sp900544495,C00003_NAD+,0.18411486713828895,0.000567234225348937,0.0028358440020472522,Other,C00003
Oribacterium sp900318695,C00134_Putrescine,0.18409626290784245,0.0005679786659631041,0.0028384149231592106,Polyamine,C00134
Succinivibrio sp002449335,C00152_Asn,-0.18409383485873115,0.000568075890146641,0.0028384149231592106,Other,C00152
Lachnospira rogosae_A,C00493_Shikimate,-0.18407121685315378,0.0005689823042160933,0.0028421248027941876,Other,C00493
Escherichia albertii,C00364_dTMP,-0.18405719295059378,0.000569544983823734,0.002844000048752823,Other,C00364
Fretibacterium fastidiosum,C02378_6-Aminohexanoate,-0.18405368567091365,0.0005696857866719664,0.002844000048752823,Other,C02378
Leptotrichia wadei,C00191_Glucuronate,-0.1840404114983078,0.000570218982356953,0.0028458424628971936,Other,C00191
Actinomyces sp900323545,C01042_N-Acetylaspartate,0.18403164112335063,0.0005705715237315315,0.0028461518460233034,Other,C01042
Aphodomorpha sp900549955,C01879_5-Oxoproline,-0.1840307019644502,0.0005706092869291154,0.0028461518460233034,Other,C01879
Faecousia sp017548065,C02678_Dodecanedioate,-0.18399484059379287,0.0005720529928368084,0.002851712130478604,Other,C02678
Prevotella sp900554835,C00003_NAD+,0.18399768625192756,0.0005719383088404027,0.002851712130478604,Other,C00003
Eubacterium_R sp910577195,C00398_Tryptamine,0.1839879527414547,0.0005723306711663773,0.0028522762795868493,Indole / Tryptophan,C00398
Roseburia intestinalis,C00055_CMP,0.18396648152414954,0.0005731970684629605,0.00285577321063529,Nucleotide,C00055
Ruminococcus_D bicirculans,C00803_Valerate,0.18395914753801926,0.0005734932847969322,0.002856428202185927,Other,C00803
Faecousia sp017548065,C01879_5-Oxoproline,-0.1839353488971007,0.0005744554787129803,0.002860398934499038,Other,C01879
Escherichia coli_E,C00079_Phe,0.18391560911919647,0.0005752547055467358,0.002863556154111199,Other,C00079
CAG-488 sp003486665,C16741_5-Hydroxylysine,0.1839104426816931,0.0005754640551172152,0.0028637760584449704,Other,C16741
Prevotella sp900557255,C05629_3-Phenylpropionate,0.18386412130462276,0.0005773442048050987,0.002872308127090617,Other,C05629
CAG-83 sp000435555,C02656_Pimelate,0.1838581179499975,0.0005775882928395377,0.0028726981701812696,Other,C02656
Egerieicola pullicola,C03264_2-Hydroxy-4-methylpentanoate,0.18385038294871806,0.0005779029282499519,0.0028734387639798293,Other,C03264
Cetobacterium_A sp905216205,C00398_Tryptamine,-0.18383099314505127,0.0005786923426822486,0.0028765389442158332,Indole / Tryptophan,C00398
Butyrivibrio_A sp900771195,C06104_Adipate,-0.1838257822036869,0.0005789046653851031,0.002876769586829154,Other,C06104
Ruminococcus_E bromii,C05122_Taurocholate,-0.18380366715012067,0.0005798065593658059,0.002880425824150242,Bile Acid,C05122
Protoclostridium sp900761765,C01046_N-Methylglutamate,-0.1837906884237118,0.0005803364628630687,0.0028822324815582596,Other,C01046
CAG-127 sp900319515,C00483_Tyramine,-0.18378268463096106,0.0005806634704349697,0.0028830307131733975,Other,C00483
CAG-41 sp900066215,C01425_Glu-Glu,-0.18377574194923976,0.0005809472629749467,0.0028836139838132337,Other,C01425
CCUG-7971 spG000499525,C01089_3-Hydroxybutyrate,-0.18377131969564764,0.0005811280962552768,0.0028836860139879765,Other,C01089
Avispirillum faecium,C01042_N-Acetylaspartate,-0.18374759247951777,0.0005820992327948201,0.0028876785402565355,Other,C01042
Cupidesulfovibrio vulgaris_A,C05984_2-Hydroxybutyrate,-0.18373392111965456,0.0005826594738346569,0.00288880467753654,Other,C05984
Sediminibacterium sp902168225,C01008_Trimethylsulfonium,0.1837354084227442,0.0005825985011613578,0.00288880467753654,Other,C01008
Faecalibacillus intestinalis,C00296_Quinate,-0.18369924048473904,0.0005840829005033797,0.0028950341134727268,Other,C00296
Gemmiger formicilis,C00134_Putrescine,-0.1836927357646825,0.0005843502379512217,0.002895531416289878,Polyamine,C00134
SIG291 sp015057605,C00079_Phe,0.1836835451108881,0.0005847281579152714,0.0028965762291242787,Other,C00079
Leptotrichia wadei,C02037_Gly-Gly,-0.18366540993625713,0.000585474541502851,0.0028994451872540504,Other,C02037
Aphodovivens excrementavium,C05135_4-(beta-Acetylaminoethyl)imidazole,0.18366049080838542,0.0005856771486780119,0.002899620332318495,Other,C05135
UBA5884 sp002431975,C00134_Putrescine,0.1836516650305388,0.0005860408243818679,0.002900592581539488,Polyamine,C00134
Ruminococcus_D sp900539095,C02656_Pimelate,0.18356473466922546,0.0005896340847278504,0.002915958208769826,Other,C02656
Faecousia sp000434635,C00245_Taurine,-0.18356435381949213,0.0005896498719544936,0.002915958208769826,Other,C00245
Agathobacter sp900546625,C10172_Proline betaine,0.1835693695441024,0.0005894419883233198,0.002915958208769826,Other,C10172
UBA11524 sp000437595,C06104_Adipate,0.18350956565853874,0.0005919250722749975,0.0029258441451696115,Other,C06104
UMGS929 sp900546875,C00785_Urocanate,-0.18350809008721622,0.0005919864610252045,0.0029258441451696115,Other,C00785
Duodenibacillus intestinavium,C01672_Cadaverine,-0.18350175566630822,0.0005922500613687992,0.002926094812198943,Polyamine,C01672
UMGS1590 sp900552455,C00055_CMP,-0.18349876112472768,0.0005923747139703708,0.002926094812198943,Nucleotide,C00055
Streptococcus oralis_BH,C02678_Dodecanedioate,0.18348964155283806,0.0005927544805909366,0.0029271367657321733,Other,C02678
Lachnospira sp003537285,C03264_2-Hydroxy-4-methylpentanoate,-0.1834724156016752,0.0005934724371359552,0.002928227325355714,Other,C03264
Fusobacterium sp000235465,C01585_Hexanoate,0.18347218642095256,0.0005934819945380078,0.002928227325355714,Other,C01585
W3P20-009 sp015061285,C00931_Porphobilinogen,-0.1834727620452859,0.0005934579898527018,0.002928227325355714,Other,C00931
Enorma burkinafasonensis,C00386_Carnosine,0.18345436764664122,0.0005942255182717548,0.0029310617456033243,Other,C00386
Agathobacter sp900317585,C00003_NAD+,0.18340058070598303,0.0005964751243242548,0.002941321304190538,Other,C00003
Ruminococcus_C sp000980705,C05145_3-Aminoisobutyrate,-0.18339537270230125,0.0005966933644926234,0.002941560862545665,Other,C05145
CAG-170 sp000432135,C01921_Glycocholate,-0.1833795655501022,0.0005973562127212995,0.0029431548781363713,Other,C01921
Alistipes_A ihumii,C01046_N-Methylglutamate,0.18338213478973836,0.0005972484292499069,0.0029431548781363713,Other,C01046
Actinomyces sp900323545,C00489_Glutarate,0.18337537100084497,0.0005975322191172222,0.002943185686095,Other,C00489
UBA1206 sp000433115,C00300_Creatine,0.18335858250238737,0.0005982371581846534,0.002945821030561068,Other,C00300
Bifidobacterium longum,C01959_Taurocyamine,-0.18332790386538955,0.0005995273272382149,0.002951335831816062,Other,C01959
Erysipelatoclostridium ramosum,C16741_5-Hydroxylysine,0.18332310153485493,0.0005997295192010849,0.002951493160348683,Other,C16741
Ventricola sp900542395,C02678_Dodecanedioate,0.18329879177301175,0.0006007540001752231,0.002954857547528516,Other,C02678
Pauljensenia turicensis,C05629_3-Phenylpropionate,0.18329975751744876,0.0006007132701048274,0.002954857547528516,Other,C05629
CAG-103 sp900543625,C05635_5-Hydroxyindoleacetate,0.18329355622301524,0.0006009748529519227,0.0029551055021215075,Other,C05635
Faecivivens stercoravium,C00314_Pyridoxine,-0.18328767078072034,0.0006012232101551346,0.0029554885221632333,Other,C00314
Aminipila sp004103735,C00398_Tryptamine,0.18323446051608533,0.0006034729277375602,0.002965706808705731,Indole / Tryptophan,C00398
UBA3855 sp017460955,C02378_6-Aminohexanoate,-0.18322781635944962,0.0006037543883032495,0.0029662492446590367,Other,C02378
Gemmiger formicilis,C06104_Adipate,0.18321359731178563,0.0006043571460828071,0.0029683694614118157,Other,C06104
Scatavimonas merdipullorum,C00576_Betaine aldehyde,-0.18319883347367238,0.0006049835880255176,0.0029706047717888485,Other,C00576
Alistipes shahii,C00719_Betaine,-0.1831877595373708,0.0006054538592088257,0.0029720121968982794,Other,C00719
Alistipes putredinis,C00214_Thymidine,0.1831840126796721,0.0006056130517730776,0.0029720121968982794,Other,C00214
Escherichia coli_E,C00300_Creatine,0.18315136196523812,0.0006070019235852396,0.0029779851021847436,Other,C00300
Spyradocola merdavium,C02656_Pimelate,0.18313980998601226,0.0006074940194819618,0.0029795562403898876,Other,C02656
Enterocloster sp001517625,C00300_Creatine,0.18312120513030997,0.0006082873337985111,0.002979857588971538,Other,C00300
Prevotella copri_A,C01672_Cadaverine,0.18312536964560958,0.0006081096747960681,0.002979857588971538,Polyamine,C01672
Alistipes onderdonkii,C00314_Pyridoxine,0.1831182177972095,0.0006084148036082157,0.002979857588971538,Other,C00314
Faecalibacillus intestinalis,C05332_Phenethylamine,-0.1831284815129149,0.0006079769533401625,0.002979857588971538,Other,C05332
Lachnospira sp003537285,C00803_Valerate,0.18312495198241902,0.0006081274902166651,0.002979857588971538,Other,C00803
Prevotella sp900551985,C01104_Trimethylamine N-oxide,-0.183076733300118,0.0006101875115574593,0.0029875098978262428,Other,C01104
Neisseria sp000186165,C00719_Betaine,-0.18307359433558484,0.0006103218397797065,0.0029875098978262428,Other,C00719
UBA11540 sp003445125,C00364_dTMP,-0.18306919617795303,0.0006105100997503786,0.002987587950740069,Other,C00364
Prevotella sp900544495,C01089_3-Hydroxybutyrate,-0.18305143063868978,0.0006112710885991905,0.0029896242973576205,Other,C01089
UMGS687 sp900545735,C01047_N-gamma-Ethylglutamine,-0.183055254405856,0.0006111072229229998,0.0029896242973576205,Other,C01047
Erysipelatoclostridium ramosum,C00186_Lactate,0.1830206692059677,0.0006125908366821461,0.002992702148885615,Other,C00186
CAG-177 sp003538135,C00449_Saccharopine,0.18302167538432906,0.0006125476271982778,0.002992702148885615,Other,C00449
CCUG-7971 spG000499525,C05607_3-Phenyllactate,-0.18302364184968983,0.0006124631871486859,0.002992702148885615,Other,C05607
Fusobacterium_A mortiferum,C00300_Creatine,0.18302441605058814,0.0006124299459103326,0.002992702148885615,Other,C00300
Fimenecus sp000432435,C00431_5-Aminovalerate,-0.1829882147097563,0.0006139860832452759,0.0029981043434167036,Other,C00431
Sediminibacterium sp902168225,C00311_Isocitrate,-0.18298690430860218,0.0006140424803018061,0.0029981043434167036,Other,C00311
Pauljensenia turicensis,C00055_CMP,0.1829621104852928,0.0006151104619909156,0.003002473307995071,Nucleotide,C00055
Escherichia coli_E,C01921_Glycocholate,0.1829375514333647,0.000616170027324857,0.0030067987429660483,Other,C01921
Excrementavichristensenella intestinipullorum,C00398_Tryptamine,0.1829130738950873,0.0006172277581535528,0.003011112794278643,Indole / Tryptophan,C00398
