Genus,UniProt_acc,Protein_name,EC,Organism,Reviewed
enterocloster,A0A2X2UM50,Diaminopimelate decarboxylase (Orn/DAP/Arg decarboxylase 2 (EC 4.1.1.20)),4.1.1.20,Enterocloster clostridioformis,unreviewed
enterocloster,A0A174HI19,Orn/DAP/Arg decarboxylase 2 (EC 4.1.1.20),4.1.1.20,Enterocloster clostridioformis,unreviewed
enterocloster,A8S4F7,Diaminopimelate decarboxylase,,Enterocloster bolteae (strain ATCC BAA-613 / DSM 15670 / CCUG 46953 / JCM 12243 / WAL 16351) (Clostridium bolteae),unreviewed
er4,,NO HIT,,,
faecalibacterium,A0A291T8S9,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalibacterium prausnitzii,unreviewed
faecalibacterium,A0A564U5E5,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalibacterium prausnitzii,unreviewed
faecalibacterium,A0A2A6ZQ43,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalibacterium prausnitzii,unreviewed
faecalibacterium,A0A174A3V0,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalibacterium hattorii,unreviewed
faecalibacterium,A0A2A7B2T3,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalibacterium prausnitzii,unreviewed
faecalibacterium,A0A173USH2,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalibacterium prausnitzii,unreviewed
faecalibacterium,A0ABU3TZF5,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Faecalibacterium wellingii,unreviewed
faecalibacterium,A0AB35Y0P9,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Faecalibacterium wellingii,unreviewed
faecalibacterium,A0AA37MYP2,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Faecalibacterium gallinarum,unreviewed
faecalibacterium,A0A291T9S9,Alanine racemase (EC 5.1.1.1),5.1.1.1,Faecalibacterium prausnitzii,unreviewed
faecalibacterium,A0A173S9X3,Alanine racemase (EC 5.1.1.1),5.1.1.1,Faecalibacterium prausnitzii,unreviewed
faecalibacterium,A0A564T414,Alanine racemase (EC 5.1.1.1),5.1.1.1,Faecalibacterium prausnitzii,unreviewed
faecalibacterium,A0A2A7BE38,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalibacterium prausnitzii,unreviewed
faecalibacterium,A0AB35Y519,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalibacterium taiwanense,unreviewed
faecalibacterium,A0ABV1AUP5,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalibacterium tardum,unreviewed
faecalimonas,A0A4V6NYG4,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Faecalimonas umbilicata,unreviewed
faecalimonas,A0A4R3JQJ0,Spermidine/putrescine ABC transporter permease (Spermidine/putrescine transport system permease protein),,Faecalimonas umbilicata,unreviewed
faecalimonas,A0A4R3JQL3,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Faecalimonas umbilicata,unreviewed
faecalimonas,A0A4R3J6M7,S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain],4.1.1.50,Faecalimonas umbilicata,unreviewed
faecalimonas,A0A4R3J7Q0,Agmatinase,,Faecalimonas umbilicata,unreviewed
faecalimonas,A0A4R3JQU7,Alanine racemase (EC 5.1.1.1),5.1.1.1,Faecalimonas umbilicata,unreviewed
faecalimonas,A0A4R3J5F5,Arginine decarboxylase (Arginine/lysine/ornithine decarboxylase),,Faecalimonas umbilicata,unreviewed
faecalimonas,A0A4V2UQ79,Arginine decarboxylase (Arginine/lysine/ornithine decarboxylase),,Faecalimonas umbilicata,unreviewed
fusobacterium,Q8RI39,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC 10681 / CIP 101130 / JCM 8532 / KCTC 2640 / LMG 13131 / VPI 4355),reviewed
fusobacterium,Q8RGC8,Fe(3+) ions import ATP-binding protein FbpC (EC 7.2.2.7),7.2.2.7,Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC 10681 / CIP 101130 / JCM 8532 / KCTC 2640 / LMG 13131 / VPI 4355),reviewed
fusobacterium,Q8RFN0,Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase),3.5.3.8,Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC 10681 / CIP 101130 / JCM 8532 / KCTC 2640 / LMG 13131 / VPI 4355),reviewed
fusobacterium,A0A377GVZ3,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Fusobacterium necrogenes,unreviewed
fusobacterium,A0ABS2G142,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Fusobacterium mortiferum,unreviewed
fusobacterium,A0A414PTY8,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Fusobacterium mortiferum,unreviewed
fusobacterium,A0A7G9GY40,Polyamine export protein,,Fusobacterium hominis,unreviewed
fusobacterium,A0AAX2JB69,Polyamine export protein,,Fusobacterium ulcerans,unreviewed
fusobacterium,A0A377GWX5,Polyamine export protein,,Fusobacterium necrogenes,unreviewed
fusobacterium,A0AAX1TRQ4,Arginine/agmatine antiporter,,Fusobacterium ulcerans,unreviewed
fusobacterium,A0AAX3MD57,Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase),3.5.3.8,Fusobacterium nucleatum,unreviewed
fusobacterium,A0A377GZ90,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Fusobacterium necrogenes,unreviewed
fusobacterium,A0A7G9GYN2,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Fusobacterium hominis,unreviewed
fusobacterium,A0A414PWI8,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Fusobacterium mortiferum,unreviewed
intestinimonas,A0A0S2W1X6,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Intestinimonas butyriciproducens,unreviewed
intestinimonas,A0A2U1CD49,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Intestinimonas butyriciproducens,unreviewed
intestinimonas,A0A9D2P1E5,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Candidatus Intestinimonas pullistercoris,unreviewed
intestinimonas,A0A0S2W0H7,Diamine N-acetyltransferase (Spermine/spermidine acetyltransferase),,Intestinimonas butyriciproducens,unreviewed
intestinimonas,A0A9D1Z542,GNAT family N-acetyltransferase,,Candidatus Intestinimonas merdavium,unreviewed
intestinimonas,A0A0S2W038,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Intestinimonas butyriciproducens,unreviewed
intestinimonas,A0A9D1Z655,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Candidatus Intestinimonas merdavium,unreviewed
intestinimonas,A0AAW5JKM0,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Intestinimonas massiliensis (ex Afouda et al. 2020),unreviewed
lachnospira,C4Z1Q7,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Lachnospira eligens (strain ATCC 27750 / DSM 3376 / VPI C15-48 / C15-B4) (Eubacterium eligens),reviewed
lachnospira,A0A1G9Y666,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Lachnospira pectinoschiza,unreviewed
lachnospira,A0A1H5WP73,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Lachnospira multipara,unreviewed
lachnospira,A0ABV1H712,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Lachnospira intestinalis,unreviewed
lachnospira,A0A174Z9Y2,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Lachnospira eligens,unreviewed
lachnospira,A0A174YR24,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Lachnospira eligens,unreviewed
lachnospira,A0A1H5WP93,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Lachnospira multipara,unreviewed
lachnospira,A0A1G9Y8C5,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Lachnospira pectinoschiza,unreviewed
lachnospira,A0A174YZE7,Diaminopimelate decarboxylase (EC 4.1.1.20),4.1.1.20,Lachnospira eligens,unreviewed
lachnospira,A0A1H0A9H6,Arginine/lysine/ornithine decarboxylase,,Lachnospira pectinoschiza,unreviewed
lachnospira,A0A1H5WP86,Arginine/lysine/ornithine decarboxylase,,Lachnospira multipara,unreviewed
lachnospira,A0ABV1GRN6,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Lachnospira intestinalis,unreviewed
lawsonibacter,A0A8J6JDD5,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Lawsonibacter hominis,unreviewed
lawsonibacter,A0A8J6M9R6,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Lawsonibacter hominis,unreviewed
lawsonibacter,A0A8J6JEU1,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Lawsonibacter faecis,unreviewed
lawsonibacter,A0A8J6JGH2,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Lawsonibacter hominis,unreviewed
lawsonibacter,A0A8J6JDP3,Alanine racemase (EC 5.1.1.1),5.1.1.1,Lawsonibacter hominis,unreviewed
lawsonibacter,A0A8J6MDU3,Alanine racemase (EC 5.1.1.1),5.1.1.1,Lawsonibacter faecis,unreviewed
ruminococcus,A0A1H7PUK2,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Ruminococcus albus,unreviewed
ruminococcus,A0A1M7IMQ3,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Ruminococcus flavefaciens,unreviewed
ruminococcus,A0A1H6IMQ9,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Ruminococcus flavefaciens,unreviewed
ruminococcus,A0A174Y036,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,[Ruminococcus] torques,unreviewed
ruminococcus,A0A3E4LPT7,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,[Ruminococcus] lactaris,unreviewed
ruminococcus,A0A414P1F9,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,[Ruminococcus] lactaris,unreviewed
ruminococcus,A0A1I1EGR0,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Ruminococcus albus,unreviewed
ruminococcus,A0A1K1M9S0,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Ruminococcus flavefaciens,unreviewed
ruminococcus,A0ABY5VLA4,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Ruminococcus gauvreauii,unreviewed
ruminococcus,A0ABR7HIS0,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Ruminococcus intestinalis,unreviewed
ruminococcus,A0ABT0NJV6,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Ruminococcus bromii,unreviewed
ruminococcus,A0A1H6HU08,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Ruminococcus flavefaciens,unreviewed
ruminococcus,A0A1K1LRN9,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Ruminococcus flavefaciens,unreviewed
ruminococcus,A0A1M7H931,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Ruminococcus flavefaciens,unreviewed
tidjanibacter,A0A9D2ILB9,Agmatinase family protein,,Candidatus Tidjanibacter faecipullorum,unreviewed
tidjanibacter,A0A9D2IKM3,Arginine decarboxylase,,Candidatus Tidjanibacter faecipullorum,unreviewed
tidjanibacter,A0A9D2DEW3,Carboxynorspermidine/carboxyspermidine decarboxylase (EC 4.1.1.96),4.1.1.96,Candidatus Tidjanibacter faecipullorum,unreviewed
tidjanibacter,A0A9D2IKU7,GNAT family N-acetyltransferase,,Candidatus Tidjanibacter faecipullorum,unreviewed
tidjanibacter,A0A9D2DCY5,Alanine racemase (EC 5.1.1.1),5.1.1.1,Candidatus Tidjanibacter faecipullorum,unreviewed
umgs856,,NO HIT,,,
ventricola,,NO HIT,,,
